"year","month","precipitation_sum","temperature_2m_mean (°C)","soil_moisture_0_to_7cm_mean (m³/m³)","soil_moisture_7_to_28cm_mean (m³/m³)","soil_temperature_0_to_7cm_mean (°C)","soil_temperature_7_to_28cm_mean (°C)","wind_speed_10m_mean (km/h)","relative_humidity_2m_mean (%)","dew_point_2m_mean (°C)","sunshine_duration (s)","date_col","season"
2023,10,237.9,13.5677419354839,0,0,15.5645161290323,15.5645161290323,33.0903225806452,80.5483870967742,10.2161290322581,15660.5441935484,2023-10-16,"Autumn"
2023,11,161.5,8.40666666666667,0,0,10.8433333333333,10.8433333333333,33.4766666666667,81.6666666666667,5.36333333333333,13384.5923333333,2023-11-15,"Autumn"
2023,12,148.4,6.30967741935484,0,0,7.85806451612903,7.85806451612903,35.8903225806452,85.1612903225806,3.94838709677419,7194.30838709677,2023-12-16,"Winter"
2024,1,114.4,4.54193548387097,0,0,5.83548387096774,5.83548387096774,37.8483870967742,80.9677419354839,1.49677419354839,11052.2387096774,2024-01-16,"Winter"
2024,2,113.9,6.60344827586207,0,0,5.98275862068965,5.98275862068965,32.1379310344828,87.7586206896552,4.67931034482759,11233.4837931034,2024-02-15,"Winter"
2024,3,47,7.25806451612903,0,0,6.85161290322581,6.85161290322581,25.9612903225806,84.6451612903226,4.79354838709677,23152.5712903226,2024-03-16,"Spring"
2024,4,106.7,9.24666666666667,0,0,9.14666666666667,9.14666666666667,26.7066666666667,79.2333333333333,5.73,31668.0473333333,2024-04-15,"Spring"
2024,5,81.7,13.8193548387097,0,0,12.658064516129,12.658064516129,21.4838709677419,83.741935483871,10.9967741935484,43986.1980645161,2024-05-16,"Spring"
2024,6,108.3,14.63,0,0,15.3966666666667,15.4,24.3433333333333,80.6666666666667,11.2833333333333,39424.7083333333,2024-06-15,"Summer"
2024,7,94.8,17.1193548387097,0,0,18.0225806451613,18.0225806451613,24.5290322580645,81.0322580645161,13.7838709677419,42543.3012903226,2024-07-16,"Summer"
2024,8,78.2,18.7548387096774,0,0,19.6032258064516,19.6,22.5516129032258,76.3225806451613,14.4290322580645,40107.2287096774,2024-08-16,"Summer"
2024,9,113.1,16.8333333333333,0,0,18.4766666666667,18.4766666666667,26.7666666666667,77.8,12.8366666666667,33112.705,2024-09-15,"Autumn"
2024,10,80.8,13.0225806451613,0,0,14.5806451612903,14.5806451612903,26.4354838709677,82.1935483870968,9.94193548387097,19647.7648387097,2024-10-16,"Autumn"
2024,11,152.3,8.83,0,0,11.8266666666667,11.8266666666667,29.61,80.9,5.64,8804.82366666667,2024-11-15,"Autumn"
2024,12,68.5,6.63870967741935,0,0,7.53548387096774,7.53548387096774,33.2677419354839,86.0645161290323,4.41612903225806,4227.55129032258,2024-12-16,"Winter"
2025,1,85.2,4.51290322580645,0,0,5.51290322580645,5.51290322580645,30.0032258064516,84.4193548387097,2.03548387096774,11751.9487096774,2025-01-16,"Winter"
2025,2,20,3.33928571428571,0,0,4.67142857142857,4.67142857142857,25.3607142857143,83.2142857142857,0.65,14733.0857142857,2025-02-14,"Winter"
2025,3,8.3,5.78064516129032,0,0,5.26774193548387,5.26774193548387,22.6225806451613,81.9677419354839,2.85161290322581,34286.26,2025-03-16,"Spring"
2025,4,10.2,8.54333333333333,0,0,8.25,8.24666666666667,18.96,85.8333333333333,6.25,36351.3693333333,2025-04-15,"Spring"
2025,5,43.2,11.6129032258065,0,0,11.7096774193548,11.7096774193548,24.5677419354839,81.3870967741936,8.44838709677419,45970.8167741935,2025-05-16,"Spring"
2025,6,85.3,15.5333333333333,0,0,15.6166666666667,15.6133333333333,24.7166666666667,81.8,12.39,43901.551,2025-06-15,"Summer"
2025,7,151,17.8290322580645,0,0,18.4161290322581,18.4129032258065,23.5774193548387,81.9354838709677,14.6451612903226,40398.6525806452,2025-07-16,"Summer"
2025,8,60.1,17.8612903225806,0,0,19.0935483870968,19.0935483870968,23.558064516129,77.2258064516129,13.7483870967742,40570.6329032258,2025-08-16,"Summer"
2025,9,96.6,16.8954545454545,0,0,18.0136363636364,18.0136363636364,29.1454545454545,79.8181818181818,13.3136363636364,31869.4227272727,2025-09-11,"Autumn"
