Taxa	PC1	PC2	PC3	PC4	PC5
C197	-1.8147105	0.676515	-0.7690086	-0.103497684	0.99921453
C198	-1.2686741	1.7971115	-0.09668861	-0.76145995	-0.22866592
C199	-2.8010182	0.17878774	0.5873818	-1.2302694	-1.847039
C200	0.2270728	3.0687966	2.1181307	-0.7148876	-1.1728865
C475	-3.1322715	-0.14280489	0.9062367	-0.8134606	-1.5132968
C476	-2.8001006	0.18811975	0.5806755	-1.7006736	-1.2918752
C480	-3.1473489	0.34049708	0.8145765	1.0920984	-1.8326392
C481	-2.0610564	1.0320476	0.4722737	0.43101528	-1.8947371
C483	-3.2404096	-0.16788295	0.7389194	-0.97984385	-1.0456965
C484	-2.6041017	0.57922626	-0.24283639	-0.65041196	0.46014798
C485	-3.0999863	0.23605286	0.022312066	-1.2197762	-0.35040173
C486	-3.5889409	0.2148148	0.41517362	-2.7646413	-2.9324927
C488	-3.499247	-0.25398135	0.1150222	-3.1113038	-3.1072762
C492	-1.8582866	0.09049764	-0.80444235	-2.9664311	-1.3961514
C495	-3.2017972	-0.06812762	0.40971312	-1.8196837	-1.5370272
C496	-3.2446392	0.39540166	1.3769814	-1.873442	-2.617894
C501	-3.1967719	-0.45807534	-0.006044042	-0.77008694	0.8344518
C502	-2.531503	-0.37471825	-1.7995201	-4.6837955	-1.7702998
C503	-2.0747633	0.07193921	-0.53379166	0.2815682	0.9853978
C505	-2.4733312	0.15605654	-1.2923082	-2.2204487	0.8557232
C506	-0.38663414	1.1849989	-1.3653802	0.9218922	1.677007
C507	-3.2468002	-0.45264736	1.0092937	0.23241708	0.6500101
C508	-1.6966966	0.67445576	-0.7631135	0.54000556	1.714128
C510	-1.458212	0.33325088	-0.6204562	0.98689413	1.3332812
C512	-1.7294179	0.15381244	-0.96346194	1.2154	2.3953109
C513	-5.139104	-0.6233224	2.2198243	-0.5489041	0.5969917
C514	-5.577892	-0.4605955	3.1517298	-0.2831439	0.4220388
C515	-4.695541	-1.193009	1.169103	1.2499195	2.283331
C516	-2.458949	0.2792426	-1.1236793	0.7680869	3.1148899
C518	-4.499655	-0.49639145	0.92763424	-0.5420516	0.8549826
C519	-2.9905908	-0.512879	-2.2879655	-2.7426476	0.37190193
C521	-5.607273	-0.5850165	2.1011803	0.34585258	1.4613512
C523	-2.0137978	0.04562482	-1.5750899	1.1865383	3.822289
C525	-6.810255	-1.5711819	2.7914603	0.8028503	1.2437456
C528	-3.7905602	-0.77796143	-0.34219405	1.2272836	3.7951488
C530	-1.9585692	0.36684284	-1.1831378	1.0068823	3.363469
C531	-4.4707103	-0.81125414	0.2651631	1.0546758	2.878169
C533	-0.9875545	0.7015854	-2.1049395	2.0455067	2.0451179
C535	-0.6238422	0.9624425	-2.0727785	1.8463713	2.9732015
C537	-4.5288796	-1.0070409	0.5999296	-0.29872188	-3.7309327
C538	-2.8455193	-1.395004	-3.5948896	-3.9901798	-3.8066967
C540	-5.040258	-2.3134317	-0.9356508	-2.7279534	-2.280522
C542	-4.81861	-1.5556668	-0.1193848	-1.5517156	-3.173869
C544	-4.715239	-0.98913586	0.41457936	-0.5443508	-3.6477656
C548	-4.723283	-0.9474889	0.7279767	1.2028463	-1.3868537
C549	-2.937445	-1.691401	-2.7872689	-3.3434978	-3.2529914
C552	-3.1451073	-1.5250071	-2.9763465	-3.8026478	-2.9425082
C553	-4.949944	-1.1663482	0.6122116	-0.8463328	-3.5523405
C554	-3.2492878	-1.5956118	-2.5591526	-3.2948513	-3.6893528
C555	-5.6364207	-1.3352244	1.1632308	-0.2054692	-3.1571016
C557	-5.2587113	-1.644112	-0.5115783	-1.8762832	-2.1653264
C558	-5.9988494	-1.5633823	1.5802416	-0.012486361	-1.9683156
C559	-4.755761	-0.8491921	0.8937578	0.15063913	-3.1218622
C560	-4.3164253	-1.435454	-0.49830493	-1.5000526	-3.2915423
C563	-5.217138	-1.5937871	1.4201114	-0.0757986	-2.8252974
C564	-5.6232414	-1.4750707	0.61351216	-1.3034273	-1.8195223
C565	-5.9869285	-1.4721657	2.3759916	1.2813785	-1.6045197
C566	-8.290911	-2.3462663	4.556372	0.32445818	-0.5126293
C568	-5.1638737	-0.74901766	1.8383507	2.0236948	-3.1912484
C569	-5.2348394	-0.8840254	1.8000587	-0.17974383	-1.8811449
C570	-5.4112873	-0.9884968	1.1491202	1.3653529	-1.6358949
C572	-7.4012394	-2.1185734	3.3508596	0.39805835	-1.2074949
