PC	eigenvalue	proportion of total	cumulative proportion
385	0.06476	3.3797E-4	0.99635
386	0.06437	3.3594E-4	0.99669
387	0.06309	3.2922E-4	0.99702
388	0.06192	3.2316E-4	0.99734
389	0.06055	3.1599E-4	0.99766
390	0.06015	3.1388E-4	0.99797
391	0.05915	3.087E-4	0.99828
392	0.05725	2.9877E-4	0.99858
393	0.05669	2.9587E-4	0.99888
394	0.05643	2.945E-4	0.99917
395	0.05408	2.8224E-4	0.99945
396	0.05336	2.7848E-4	0.99973
397	0.05143	2.6837E-4	1
398	1.0857E-29	5.6656E-32	1
