plant_ID,leaves_number,petiole_longest_leaf_cm,length_longest_leaf_cm,width_longest_leaf_cm,stem_cm,Cauline_leaves,flowers,plant_length_cm,Sideshoots,Sidebranch,location,season,year,longitude_GMS,latitude_GMS,temperature_C,petiole_length_ratio,aspect_ratio,leaf_to_stem,leaf_plant_length,stem_plant_length,Sideshoot_to_plant_length,flower_to_plnat_length,plant_length_latitude
1_92,8,0.7,1.7,0.4,0.5,4,6,15.5,2,NA,Spiekeroog,Spring,2021,NA,NA,NA,0.411764705882353,0.235294117647059,3.4,0.516129032258065,0.032258064516129,0.129032258064516,0.387096774193548,NA
1_93,5,0.5,2,0.5,0.8,3,38,29.8,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.25,0.25,2.5,0.167785234899329,0.0268456375838926,0,1.2751677852349,NA
1_94,2,0.2,1,0.3,0.6,4,15,22.6,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.3,1.66666666666667,0.0884955752212389,0.0265486725663717,0,0.663716814159292,NA
1_95,5,0.2,0.8,0.2,0.5,2,10,15.4,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.25,0.25,1.6,0.324675324675325,0.0324675324675325,0,0.649350649350649,NA
1_96,4,0.2,1.1,0.5,0.9,2,36,27.9,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.181818181818182,0.454545454545455,1.22222222222222,0.14336917562724,0.032258064516129,0,1.29032258064516,NA
1_97,4,0.2,1,0.3,0.6,3,19,17,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.3,1.66666666666667,0.235294117647059,0.0352941176470588,0,1.11764705882353,NA
1_98,4,0.2,0.9,0.2,0.6,3,24,21,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.222222222222222,0.222222222222222,1.5,0.19047619047619,0.0285714285714286,0,1.14285714285714,NA
1_99,5,0.2,0.9,0.3,0.6,2,19,18.6,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.222222222222222,0.333333333333333,1.5,0.268817204301075,0.032258064516129,0,1.02150537634409,NA
1_100,4,0.1,0.5,0.2,0.3,3,18,13,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.4,1.66666666666667,0.307692307692308,0.0230769230769231,0,1.38461538461538,NA
1_101,3,0.1,0.6,0.2,0.4,2,9,10.1,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.333333333333333,1.5,0.297029702970297,0.0396039603960396,0,0.891089108910891,NA
1_102,5,0.2,0.7,0.3,0.6,4,31,20.8,0,1,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.428571428571429,1.16666666666667,0.240384615384615,0.0288461538461538,0,1.49038461538462,NA
1_103,2,0.1,0.7,0.3,0.3,2,10,10.2,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.142857142857143,0.428571428571429,2.33333333333333,0.196078431372549,0.0294117647058824,0,0.980392156862745,NA
1_104,3,0.1,0.6,0.2,0.4,1,8,8.3,0,0,Spiekeroog,Spring,2021,NA,NA,NA,0.166666666666667,0.333333333333333,1.5,0.36144578313253,0.0481927710843373,0,0.963855421686747,NA
1_105,9,0.4,1.4,0.5,1,5,39,19.8,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.285714285714286,0.357142857142857,1.4,0.454545454545455,0.0505050505050505,0,1.96969696969697,NA
1_106,10,0.5,2.5,0.7,2.2,3,78,28.5,4,2,Spiekeroog,Spring,2021,NA,NA,NA,0.2,0.28,1.13636363636364,0.350877192982456,0.0771929824561404,0.140350877192982,2.73684210526316,NA
1_156,10,0.3,1.7,0.6,0.88,3,58,27.5,0,3,Spiekeroog,Spring,2021,NA,NA,NA,0.176470588235294,0.352941176470588,1.93181818181818,0.363636363636364,0.032,0,2.10909090909091,NA
1_157,8,0.9,4.6,1.3,1.15,5,59,31.3,7,0,Spiekeroog,Spring,2021,NA,NA,NA,0.195652173913043,0.282608695652174,4,0.255591054313099,0.036741214057508,0.223642172523962,1.88498402555911,NA
1_158,9,1.3,4,1.2,1,4,41,27.2,4,0,Spiekeroog,Spring,2021,NA,NA,NA,0.325,0.3,4,0.330882352941176,0.0367647058823529,0.147058823529412,1.50735294117647,NA
1_159,8,0.4,1.5,0.6,0.72,4,20,18.9,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.266666666666667,0.4,2.08333333333333,0.423280423280423,0.0380952380952381,0,1.05820105820106,NA
1_160,12,0.5,2.4,0.7,0.41,6,31,24.8,2,1,Spiekeroog,Spring,2021,NA,NA,NA,0.208333333333333,0.291666666666667,5.85365853658537,0.483870967741935,0.0165322580645161,0.0806451612903226,1.25,NA
1_161,8,0.5,2.2,0.8,1.23,4,82,42.4,0,4,Spiekeroog,Spring,2021,NA,NA,NA,0.227272727272727,0.363636363636364,1.78861788617886,0.188679245283019,0.0290094339622642,0,1.93396226415094,NA
1_162,2,0.8,2,0.4,0.53,2,6,9.2,0,2,Spiekeroog,Spring,2021,NA,NA,NA,0.4,0.2,3.77358490566038,0.217391304347826,0.0576086956521739,0,0.652173913043478,NA
1_163,23,1.2,4.4,0.8,1.1,7,98,43,8,0,Spiekeroog,Spring,2021,NA,NA,NA,0.272727272727273,0.181818181818182,4,0.534883720930233,0.0255813953488372,0.186046511627907,2.27906976744186,NA
1_164,10,0.4,1.5,0.6,1.05,6,42,28.1,1,2,Spiekeroog,Spring,2021,NA,NA,NA,0.266666666666667,0.4,1.42857142857143,0.355871886120996,0.0373665480427046,0.0355871886120996,1.49466192170818,NA
1_165,12,0.8,3.1,1.1,0.83,4,44,33.8,2,0,Spiekeroog,Spring,2021,NA,NA,NA,0.258064516129032,0.354838709677419,3.73493975903614,0.355029585798817,0.0245562130177515,0.0591715976331361,1.30177514792899,NA
1_166,5,1.3,2.2,0.6,0.76,5,29,18.7,4,0,Spiekeroog,Spring,2021,NA,NA,NA,0.590909090909091,0.272727272727273,2.89473684210526,0.267379679144385,0.0406417112299465,0.213903743315508,1.55080213903743,NA
1_167,7,0.7,2,0.6,1.18,4,49,19,3,0,Spiekeroog,Spring,2021,NA,NA,NA,0.35,0.3,1.69491525423729,0.368421052631579,0.0621052631578947,0.157894736842105,2.57894736842105,NA
1_168,12,2.4,4.7,0.9,1.1,6,60,23.8,4,0,Spiekeroog,Spring,2021,NA,NA,NA,0.51063829787234,0.191489361702128,4.27272727272727,0.504201680672269,0.046218487394958,0.168067226890756,2.52100840336134,NA
1_169,5,0.2,1.1,0.5,0.59,3,16,10.3,1,0,Spiekeroog,Spring,2021,NA,NA,NA,0.181818181818182,0.454545454545455,1.86440677966102,0.485436893203883,0.0572815533980582,0.0970873786407767,1.55339805825243,NA
1_170,9,0.5,2.2,0.6,1,5,25,19.7,1,1,Spiekeroog,Spring,2021,NA,NA,NA,0.227272727272727,0.272727272727273,2.2,0.456852791878173,0.050761421319797,0.050761421319797,1.26903553299492,NA
1_171,7,0.5,1.9,0.7,0.86,2,24,15.4,3,3,Spiekeroog,Spring,2021,NA,NA,NA,0.263157894736842,0.368421052631579,2.2093023255814,0.454545454545455,0.0558441558441558,0.194805194805195,1.55844155844156,NA
