Taxa	PC1	PC2	PC3	PC4	PC5
816	-6.7515225	-3.0470018	-3.1859765	-1.0978891	1.307195
817	-11.149224	-5.721346	-4.3409758	0.54308766	0.7138243
818	-7.92477	-4.3300757	-1.7456784	0.44105548	-0.72249496
819	-9.5696335	-6.254821	-3.3286736	-0.28193116	-0.5770191
821	-13.318387	11.028951	-2.5345411	1.8201715	0.18996723
822	-2.3277729	-2.6835933	-2.9813	-0.85740936	0.7560177
823	-9.264036	2.4787197	-3.0094697	0.04579834	1.2867507
824	-4.374539	-4.5069404	-3.0468087	-1.066381	1.0050614
825	-4.7094355	-2.4690769	-2.7136161	0.42298636	-0.24237289
826	-11.314774	3.223042	-1.5462092	0.99373657	0.3557364
827	-11.419289	-4.9445243	-3.1713924	-0.85360175	-0.37888536
829	-3.1787205	-2.292586	-2.4532764	-1.2688982	1.2117801
830	-12.933654	7.5645766	-3.3839202	0.8330194	1.1753248
831	-4.3898587	-2.2239354	-2.1774325	-1.5258372	0.65199065
832	-25.096424	-12.205621	-6.658023	2.0275304	0.71432
833	-12.173437	-5.3419104	-3.2284422	0.7131682	-0.60725325
834	-5.8817863	-3.933772	-2.3619514	-0.72155917	0.33520645
835	-15.301636	-8.245577	-4.64187	2.092563	-0.2225401
837	2.1862032	-1.5829977	-1.7776341	0.5065842	0.39491552
838	-17.679373	-8.45699	-5.755852	0.59995353	1.1925144
841	-7.6649895	-2.7814708	-2.5557659	0.2399227	-0.22572556
843	-7.8653083	-4.4618573	-3.6424026	-0.86355036	0.6029431
844	1.1854194	-2.0657654	-1.0195488	0.12089269	1.265987
845	-5.9638696	2.6294022	-3.4065897	-0.29131785	0.5913328
846	-5.669256	2.0373924	-2.4974637	0.09560515	0.09924882
848	-5.2874885	-3.9863253	-2.6923997	-1.6696037	1.0246335
849	-12.331809	-7.7677116	-4.6155677	1.0635711	0.38784835
850	-9.516036	-4.356219	-2.3798225	-0.4389804	0.107120834
851	-12.719496	-1.1753328	-3.5719812	-1.1456323	0.36278972
852	-7.918265	-2.7495134	-3.7732704	0.5091707	0.49514553
853	0.8539359	-1.8665941	-2.0522451	0.40116924	0.075413205
854	3.6077588	-2.3969104	-1.0776244	0.9374329	0.52579296
855	-6.6815877	-5.169254	-3.549785	-0.36283016	1.0243659
856	-8.481357	2.343512	-1.9340374	-1.4865779	0.7939967
857	-9.5714655	-6.392047	-3.777508	0.16943419	0.15534285
858	-11.755568	-4.7610145	-1.7876608	-0.42775613	-0.41577467
859	-5.6723957	-3.7979417	-2.492858	-0.39841238	0.181226
860	-3.9486234	-1.5552306	-2.1812065	-0.58081806	0.47526428
861	-3.9642951	-1.2602242	-2.9712214	-0.0749581	0.526844
862	-9.009716	6.502798	-1.6127146	2.3418167	2.1066318
865	3.1670547	1.8282588	-0.7792262	0.2857503	-0.67008793
