PC	eigenvalue	proportion of total	cumulative proportion
307	0.1028	7.1381E-4	0.86947
308	0.10247	7.1154E-4	0.87019
309	0.10205	7.086E-4	0.87089
310	0.10181	7.0692E-4	0.8716
311	0.10124	7.0297E-4	0.8723
312	0.10118	7.0258E-4	0.87301
313	0.10082	7.0008E-4	0.87371
314	0.09994	6.9394E-4	0.8744
315	0.09957	6.9143E-4	0.87509
316	0.09947	6.9073E-4	0.87578
317	0.09893	6.8698E-4	0.87647
318	0.09873	6.8559E-4	0.87716
319	0.09833	6.8278E-4	0.87784
320	0.09831	6.8263E-4	0.87852
321	0.09802	6.8061E-4	0.8792
322	0.09743	6.7651E-4	0.87988
323	0.0968	6.7217E-4	0.88055
324	0.09648	6.6993E-4	0.88122
325	0.09629	6.6859E-4	0.88189
326	0.09545	6.6277E-4	0.88255
327	0.09534	6.62E-4	0.88321
328	0.09458	6.5677E-4	0.88387
329	0.09434	6.5508E-4	0.88452
330	0.09412	6.5358E-4	0.88518
331	0.09375	6.5097E-4	0.88583
332	0.09354	6.495E-4	0.88648
333	0.09342	6.487E-4	0.88713
334	0.0931	6.4645E-4	0.88777
335	0.09269	6.4359E-4	0.88842
336	0.09205	6.3916E-4	0.88906
337	0.09177	6.3724E-4	0.88969
338	0.0914	6.3468E-4	0.89033
339	0.09122	6.3344E-4	0.89096
340	0.09112	6.3273E-4	0.89159
341	0.09087	6.3099E-4	0.89223
342	0.09055	6.2873E-4	0.89285
343	0.08996	6.2469E-4	0.89348
344	0.08975	6.2323E-4	0.8941
345	0.08952	6.2158E-4	0.89472
346	0.08918	6.1927E-4	0.89534
347	0.08885	6.1695E-4	0.89596
348	0.08839	6.1375E-4	0.89657
349	0.08784	6.0996E-4	0.89718
350	0.0876	6.083E-4	0.89779
351	0.08711	6.0484E-4	0.8984
352	0.08675	6.0241E-4	0.899
353	0.08624	5.9886E-4	0.8996
354	0.08605	5.9753E-4	0.9002
355	0.0859	5.9645E-4	0.90079
356	0.08554	5.9401E-4	0.90139
357	0.08512	5.9108E-4	0.90198
358	0.085	5.9023E-4	0.90257
359	0.08463	5.8764E-4	0.90316
360	0.0845	5.8675E-4	0.90374
361	0.08383	5.8208E-4	0.90432
362	0.08365	5.8082E-4	0.90491
363	0.08348	5.7965E-4	0.90548
364	0.08271	5.7434E-4	0.90606
365	0.08258	5.7342E-4	0.90663
366	0.08227	5.7125E-4	0.9072
367	0.08174	5.6762E-4	0.90777
368	0.0817	5.6732E-4	0.90834
369	0.08122	5.64E-4	0.9089
370	0.08088	5.6159E-4	0.90946
371	0.08066	5.6011E-4	0.91002
372	0.08018	5.5674E-4	0.91058
373	0.07999	5.554E-4	0.91114
374	0.07966	5.5311E-4	0.91169
375	0.07918	5.4979E-4	0.91224
376	0.07909	5.492E-4	0.91279
377	0.07862	5.4591E-4	0.91333
378	0.07853	5.453E-4	0.91388
379	0.07835	5.4405E-4	0.91442
380	0.07797	5.414E-4	0.91497
381	0.07752	5.3827E-4	0.9155
382	0.07731	5.3682E-4	0.91604
383	0.07692	5.3411E-4	0.91657
384	0.07678	5.3314E-4	0.91711
385	0.07656	5.3159E-4	0.91764
386	0.07612	5.2856E-4	0.91817
387	0.0759	5.2706E-4	0.91869
388	0.07566	5.2539E-4	0.91922
389	0.07511	5.2152E-4	0.91974
390	0.07473	5.1889E-4	0.92026
391	0.07454	5.1758E-4	0.92078
392	0.07437	5.1641E-4	0.92129
393	0.07416	5.1495E-4	0.92181
394	0.07382	5.126E-4	0.92232
395	0.07363	5.1127E-4	0.92283
396	0.0734	5.0965E-4	0.92334
397	0.07319	5.0824E-4	0.92385
398	0.0729	5.0618E-4	0.92436
399	0.07253	5.0361E-4	0.92486
400	0.07241	5.0277E-4	0.92536
401	0.07214	5.0096E-4	0.92586
402	0.07165	4.9755E-4	0.92636
403	0.07136	4.9552E-4	0.92686
404	0.07116	4.9413E-4	0.92735
405	0.07081	4.9167E-4	0.92784
406	0.07044	4.8913E-4	0.92833
407	0.07001	4.8616E-4	0.92882
408	0.06982	4.8479E-4	0.9293
409	0.06973	4.8417E-4	0.92979
410	0.06951	4.8266E-4	0.93027
411	0.0692	4.8054E-4	0.93075
412	0.06871	4.7712E-4	0.93123
413	0.06838	4.7483E-4	0.9317
414	0.06814	4.7318E-4	0.93218
415	0.06778	4.7066E-4	0.93265
416	0.06758	4.6924E-4	0.93312
417	0.06735	4.6764E-4	0.93358
418	0.06722	4.6674E-4	0.93405
419	0.06707	4.6573E-4	0.93452
420	0.06631	4.6042E-4	0.93498
421	0.06613	4.5921E-4	0.93544
422	0.06608	4.5884E-4	0.93589
423	0.06578	4.5678E-4	0.93635
424	0.06559	4.5543E-4	0.93681
425	0.06535	4.5379E-4	0.93726
426	0.06487	4.5048E-4	0.93771
427	0.06472	4.4938E-4	0.93816
428	0.06453	4.4807E-4	0.93861
429	0.06399	4.4436E-4	0.93905
430	0.06375	4.4269E-4	0.9395
431	0.06347	4.407E-4	0.93994
432	0.0634	4.4026E-4	0.94038
433	0.06321	4.3893E-4	0.94082
434	0.06277	4.3587E-4	0.94125
435	0.06265	4.3506E-4	0.94169
436	0.06218	4.3177E-4	0.94212
437	0.06188	4.2971E-4	0.94255
438	0.06168	4.2832E-4	0.94298
439	0.06156	4.2748E-4	0.9434
440	0.06139	4.2631E-4	0.94383
441	0.0613	4.2562E-4	0.94426
442	0.06093	4.2308E-4	0.94468
443	0.06073	4.2173E-4	0.9451
444	0.06055	4.2045E-4	0.94552
445	0.06004	4.1693E-4	0.94594
446	0.05985	4.1556E-4	0.94635
447	0.05955	4.1349E-4	0.94677
448	0.0593	4.1173E-4	0.94718
449	0.05891	4.0905E-4	0.94759
450	0.05868	4.0745E-4	0.948
451	0.0584	4.0549E-4	0.9484
452	0.05828	4.047E-4	0.94881
453	0.05825	4.0447E-4	0.94921
454	0.05812	4.0355E-4	0.94961
455	0.0577	4.0064E-4	0.95001
456	0.05733	3.9811E-4	0.95041
457	0.05702	3.9592E-4	0.95081
458	0.05693	3.953E-4	0.9512
459	0.05674	3.9401E-4	0.9516
460	0.05645	3.9196E-4	0.95199
461	0.05631	3.9097E-4	0.95238
462	0.05598	3.8875E-4	0.95277
463	0.05593	3.8839E-4	0.95316
464	0.0557	3.8679E-4	0.95354
465	0.05541	3.8475E-4	0.95393
466	0.05528	3.8388E-4	0.95431
467	0.05509	3.825E-4	0.9547
468	0.05467	3.7963E-4	0.95508
469	0.05438	3.776E-4	0.95545
470	0.05424	3.766E-4	0.95583
471	0.05415	3.76E-4	0.95621
472	0.05374	3.7318E-4	0.95658
473	0.05362	3.7233E-4	0.95695
474	0.05347	3.7126E-4	0.95732
475	0.05329	3.7006E-4	0.95769
476	0.05317	3.6919E-4	0.95806
477	0.05275	3.6625E-4	0.95843
478	0.05264	3.6549E-4	0.95879
