Gene,log2FoldChange,p_adj,state
AT3G17010,-2.09731053444897,0.000349103694170518,DOWN
AT1G31330,-2.09774964305302,1.5602387710239e-77,DOWN
AT3G09660,-2.10643263514054,0.00105006049903289,DOWN
AT1G52040,-2.11338630546773,2.6973830160751e-45,DOWN
AT2G24540,-2.11342433548568,4.65152904059745e-56,DOWN
AT1G77740,-2.11444887374921,0.00590979904307016,DOWN
AT1G65490,-2.12870652400026,9.46755228730599e-60,DOWN
AT1G80130,-2.13048693306284,2.20020794613844e-68,DOWN
AT4G26610,-2.13267580537715,1.38857407519784e-09,DOWN
AT4G27310,-2.13692688971733,1.36038082270315e-50,DOWN
AT3G08943,-2.13926290075704,0.000434182998592355,DOWN
AT1G32470,-2.14436614137149,3.670882869904e-66,DOWN
AT4G29905,-2.15307851665231,1.48673286924917e-47,DOWN
